3EF322E94DF9965D1FA6,B, Bersedia Menerima, Belum Bersertifikat, PLN, 50000, Tidak Ada, Negeri, SMP, Pemerintah Pusat
8B1B132627CAACA08EC9,B, Bersedia Menerima, Belum Bersertifikat, PLN, 7700, Telkomsel Flash, Negeri, SMP, Pemerintah Daerah
B7572CC1B153299D3ED8,C, Bersedia Menerima, Belum Bersertifikat, PLN, 3300, Tidak Ada, Swasta, SMP, Yayasan
5FC16FB4DA27F78288BA,A, Bersedia Menerima, Belum Bersertifikat, PLN, 16000, Telkomsel Flash, Negeri, SMA, Pemerintah Daerah
B00F87593A9B79963D09,:, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Indosat IM3, Negeri, SD, Pemerintah Pusat
AD350DBE7F04911E3126,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
F0563B8063F8E31A00E1,A, Bersedia Menerima, 9001, PLN, 1300, Telkom Speedy, Negeri, SD, Pemerintah Daerah
48F610C420A2ACBD27F2,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
5904EFD1996EDC807523,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Smartfren, Negeri, SD, Pemerintah Daerah
F88D660AE91BD47839FC,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
C13315B7D85881AE7092,A, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
47C65818129E1F364161,A, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Telkom Speedy, Negeri, SD, Pemerintah Pusat
0031795ED57833830043,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Lainnya (Serat Optik), Negeri, SD, Pemerintah Pusat
F78BFC4671B13CC986BD,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Pusat
5EED3372EFE5ED3A4A3B,A, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Telkomsel Flash, Negeri, SD, Pemerintah Pusat
796444E292F78A62DF5E,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
ED059C8E683900DB477D,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
68A4B5228C936051FD64,A, Bersedia Menerima, Belum Bersertifikat, PLN, 450, 3 (Tri), Negeri, SD, Pemerintah Daerah
040DBADBF19647B04CD6,A, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
EF564886AFD5FD9782BE,A, Bersedia Menerima, Belum Bersertifikat, PLN, 9000, Tidak Ada, Negeri, SD, Pemerintah Daerah
BC3851063E326DD25957,A, Bersedia Menerima, Belum Bersertifikat, PLN, 22000, Tidak Ada, Negeri, SD, Pemerintah Daerah
